counter,date,time,instrument_full,inst_type,underlying,expiry,option_type,strike,qty,price,amount,note
91,2026-03-06,14:49:37,OPTIDX_NIFTY_10MAR2026_CE_24650,OPTIDX,NIFTY,10MAR2026,CE,24650,65,145.89999,9483.49935,
91,2026-03-06,09:31:00,OPTIDX_NIFTY_10MAR2026_CE_24650,OPTIDX,NIFTY,10MAR2026,CE,24650,-65,216.2,-14053.0,
91,2026-03-06,14:44:12,OPTIDX_NIFTY_10MAR2026_PE_24650,OPTIDX,NIFTY,10MAR2026,PE,24650,65,273.20001,17758.00065,
91,2026-03-06,09:31:00,OPTIDX_NIFTY_10MAR2026_PE_24650,OPTIDX,NIFTY,10MAR2026,PE,24650,-65,212.89999,-13838.49935,
91,2026-03-06,14:49:37,OPTIDX_NIFTY_10MAR2026_CE_25300,OPTIDX,NIFTY,10MAR2026,CE,25300,-65,14.55,-945.75,
91,2026-03-06,09:30:09,OPTIDX_NIFTY_10MAR2026_CE_25300,OPTIDX,NIFTY,10MAR2026,CE,25300,65,23.25,1511.25,
91,2026-03-06,14:49:12,OPTIDX_NIFTY_10MAR2026_PE_23750,OPTIDX,NIFTY,10MAR2026,PE,23750,-65,61.4,-3991.0,
91,2026-03-06,09:30:09,OPTIDX_NIFTY_10MAR2026_PE_23750,OPTIDX,NIFTY,10MAR2026,PE,23750,65,33.4,2171.0,
91,2026-03-06,14:49:37,OPTIDX_NIFTY_10MAR2026_PE_23450,OPTIDX,NIFTY,10MAR2026,PE,23450,-65,37.35,-2427.75,
91,2026-03-06,14:49:11,OPTIDX_NIFTY_10MAR2026_PE_23450,OPTIDX,NIFTY,10MAR2026,PE,23450,65,35.35,2297.75,
90,2026-03-05,14:40:51,OPTIDX_NIFTY_10MAR2026_CE_24550,OPTIDX,NIFTY,10MAR2026,CE,24550,65,335.35001,21797.750649999998,
90,2026-03-05,09:31:01,OPTIDX_NIFTY_10MAR2026_CE_24550,OPTIDX,NIFTY,10MAR2026,CE,24550,-65,248.7,-16165.5,
90,2026-03-05,15:02:40,OPTIDX_NIFTY_10MAR2026_PE_24550,OPTIDX,NIFTY,10MAR2026,PE,24550,65,126.25,8206.25,
90,2026-03-05,09:31:01,OPTIDX_NIFTY_10MAR2026_PE_24550,OPTIDX,NIFTY,10MAR2026,PE,24550,-65,232.2,-15093.0,
90,2026-03-05,15:02:40,OPTIDX_NIFTY_10MAR2026_CE_25300,OPTIDX,NIFTY,10MAR2026,CE,25300,-65,36.8,-2392.0,
90,2026-03-05,09:30:22,OPTIDX_NIFTY_10MAR2026_CE_25300,OPTIDX,NIFTY,10MAR2026,CE,25300,65,25.95,1686.75,
90,2026-03-05,15:02:40,OPTIDX_NIFTY_10MAR2026_PE_23550,OPTIDX,NIFTY,10MAR2026,PE,23550,-65,23.8,-1547.0,
90,2026-03-05,09:30:22,OPTIDX_NIFTY_10MAR2026_PE_23550,OPTIDX,NIFTY,10MAR2026,PE,23550,65,41.2,2678.0,
89,2026-03-04,14:12:23,OPTIDX_NIFTY_10MAR2026_CE_24400,OPTIDX,NIFTY,10MAR2026,CE,24400,65,396.95001,25801.75065,
89,2026-03-04,09:31:00,OPTIDX_NIFTY_10MAR2026_CE_24400,OPTIDX,NIFTY,10MAR2026,CE,24400,-65,301.39999,-19590.999350000002,
89,2026-03-04,15:05:05,OPTIDX_NIFTY_10MAR2026_PE_24400,OPTIDX,NIFTY,10MAR2026,PE,24400,65,276.79999,17991.99935,
89,2026-03-04,09:31:00,OPTIDX_NIFTY_10MAR2026_PE_24400,OPTIDX,NIFTY,10MAR2026,PE,24400,-65,320.75,-20848.75,
89,2026-03-04,15:05:06,OPTIDX_NIFTY_10MAR2026_CE_25350,OPTIDX,NIFTY,10MAR2026,CE,25350,-65,41.7,-2710.5,
89,2026-03-04,09:30:12,OPTIDX_NIFTY_10MAR2026_CE_25350,OPTIDX,NIFTY,10MAR2026,CE,25350,65,32.1,2086.5,
89,2026-03-04,15:05:06,OPTIDX_NIFTY_10MAR2026_PE_23100,OPTIDX,NIFTY,10MAR2026,PE,23100,-65,57.65,-3747.25,
89,2026-03-04,09:30:13,OPTIDX_NIFTY_10MAR2026_PE_23100,OPTIDX,NIFTY,10MAR2026,PE,23100,65,60,3900.0,
88,2026-03-02,10:58:08,OPTIDX_NIFTY_02MAR2026_CE_24900,OPTIDX,NIFTY,02MAR2026,CE,24900,65,35.05,2278.25,
88,2026-03-02,09:31:00,OPTIDX_NIFTY_02MAR2026_CE_24900,OPTIDX,NIFTY,02MAR2026,CE,24900,-65,110.2,-7163.0,
88,2026-03-02,10:44:39,OPTIDX_NIFTY_02MAR2026_PE_24900,OPTIDX,NIFTY,02MAR2026,PE,24900,65,122.5,7962.5,
88,2026-03-02,09:31:00,OPTIDX_NIFTY_02MAR2026_PE_24900,OPTIDX,NIFTY,02MAR2026,PE,24900,-65,80.95,-5261.75,
88,2026-03-02,10:58:08,OPTIDX_NIFTY_02MAR2026_CE_25200,OPTIDX,NIFTY,02MAR2026,CE,25200,-65,2.2,-143.0,
88,2026-03-02,09:30:12,OPTIDX_NIFTY_02MAR2026_CE_25200,OPTIDX,NIFTY,02MAR2026,CE,25200,65,9,585.0,
